userName,content,score,at,cleaned_content,normalized_content,lower_content,tokens,stemmed_content,label
Yandi Irawan,"1 Tambahkan ulasan suara konsumen untuk setiap mengisi BBM, untuk mencegah SPBU ""nakal"" 2 tolong dijaga data konsumen supaya tidak disalahgunakan oleh pihak tidak bertanggung jawab 3 Pastikan semua SPBU sudah memenuhi berbagai kebutuhan alat transaksi",5,2024-10-07 19:07:40, Tambahkan ulasan suara konsumen untuk setiap mengisi BBM untuk mencegah SPBU nakal  tolong dijaga data konsumen supaya tidak disalahgunakan oleh pihak tidak bertanggung jawab  Pastikan semua SPBU sudah memenuhi berbagai kebutuhan alat transaksi, Tambahkan ulasan suara konsumen untuk setiap mengisi BBM untuk mencegah SPBU nakal  tolong dijaga data konsumen supaya tidak disalahgunakan oleh pihak tidak bertanggung jawab  Pastikan semua SPBU sudah memenuhi berbagai kebutuhan alat transaksi, tambahkan ulasan suara konsumen untuk setiap mengisi bbm untuk mencegah spbu nakal  tolong dijaga data konsumen supaya tidak disalahgunakan oleh pihak tidak bertanggung jawab  pastikan semua spbu sudah memenuhi berbagai kebutuhan alat transaksi,"['tambahkan', 'ulasan', 'suara', 'konsumen', 'untuk', 'setiap', 'mengisi', 'bbm', 'untuk', 'mencegah', 'spbu', 'nakal', 'tolong', 'dijaga', 'data', 'konsumen', 'supaya', 'tidak', 'disalahgunakan', 'oleh', 'pihak', 'tidak', 'bertanggung', 'jawab', 'pastikan', 'semua', 'spbu', 'sudah', 'memenuhi', 'berbagai', 'kebutuhan', 'alat', 'transaksi']",tambah ulas suara konsumen untuk tiap isi bbm untuk cegah spbu nakal tolong jaga data konsumen supaya tidak disalahgunakan oleh pihak tidak tanggung jawab pasti semua spbu sudah penuh bagai butuh alat transaksi,
Amelia Nuraeni,kbanyakan update. kaeyawan nya jarang nyatet plat nomor. gakkaya shell,1,2024-10-07 18:37:27,kbanyakan update kaeyawan nya jarang nyatet plat nomor gakkaya shell,kbanyakan update kaeyawan nya jarang nyatet plat nomor gakkaya shell,kbanyakan update kaeyawan nya jarang nyatet plat nomor gakkaya shell,"['kbanyakan', 'update', 'kaeyawan', 'nya', 'jarang', 'nyatet', 'plat', 'nomor', 'gakkaya', 'shell']",kbanyakan update kaeyawan nya jarang nyatet plat nomor gakkaya shell,
Dwi Prasatriawan (Dwi),Banyak bugsnya,4,2024-10-07 18:13:46,Banyak bugsnya,Banyak bugsnya,banyak bugsnya,"['banyak', 'bugsnya']",banyak bugsnya,
Sevi Dwi Cahyani,Buat akun saja susah banget,2,2024-10-07 18:02:31,Buat akun saja susah banget,Buat akun saja susah banget,buat akun saja susah banget,"['buat', 'akun', 'saja', 'susah', 'banget']",buat akun saja susah banget,
Alifia Adriana,sangat baik,5,2024-10-07 17:58:31,sangat baik,sangat baik,sangat baik,"['sangat', 'baik']",sangat baik,
Agus Purwadi,"Saya bikin barcode tapi bukan saya yang pakai,tadi saya mau uji coba isi pertalite tapi kuota ku sudah ada yang pakai,lantas gunanya bikin barcode apa,kalau barcode kita yang bikin tapi orang lain yang pakai,...!? Seharusnya itu kalau ada mobil yang mau isi BBM tdk sesuai di barcode jangan dikasih,tolong sistem pertanian diperbaiki,karna sudah merugikan yang memiliki barcode",1,2024-10-07 17:47:05,Saya bikin barcode tapi bukan saya yang pakaitadi saya mau uji coba isi pertalite tapi kuota ku sudah ada yang pakailantas gunanya bikin barcode apakalau barcode kita yang bikin tapi orang lain yang pakai Seharusnya itu kalau ada mobil yang mau isi BBM tdk sesuai di barcode jangan dikasihtolong sistem pertanian diperbaikikarna sudah merugikan yang memiliki barcode,Saya bikin barcode tapi bukan saya yang pakaitadi saya mau uji coba isi pertalite tapi kuota ku sudah ada yang pakailantas gunanya bikin barcode apakalau barcode kita yang bikin tapi orang lain yang pakai Seharusnya itu kalau ada mobil yang mau isi BBM tidak sesuai di barcode jangan dikasihtolong sistem pertanian diperbaikikarna sudah merugikan yang memiliki barcode,saya bikin barcode tapi bukan saya yang pakaitadi saya mau uji coba isi pertalite tapi kuota ku sudah ada yang pakailantas gunanya bikin barcode apakalau barcode kita yang bikin tapi orang lain yang pakai seharusnya itu kalau ada mobil yang mau isi bbm tidak sesuai di barcode jangan dikasihtolong sistem pertanian diperbaikikarna sudah merugikan yang memiliki barcode,"['saya', 'bikin', 'barcode', 'tapi', 'bukan', 'saya', 'yang', 'pakaitadi', 'saya', 'mau', 'uji', 'coba', 'isi', 'pertalite', 'tapi', 'kuota', 'ku', 'sudah', 'ada', 'yang', 'pakailantas', 'gunanya', 'bikin', 'barcode', 'apakalau', 'barcode', 'kita', 'yang', 'bikin', 'tapi', 'orang', 'lain', 'yang', 'pakai', 'seharusnya', 'itu', 'kalau', 'ada', 'mobil', 'yang', 'mau', 'isi', 'bbm', 'tidak', 'sesuai', 'di', 'barcode', 'jangan', 'dikasihtolong', 'sistem', 'pertanian', 'diperbaikikarna', 'sudah', 'merugikan', 'yang', 'memiliki', 'barcode']",saya bikin barcode tapi bukan saya yang pakaitadi saya mau uji coba isi pertalite tapi kuota ku sudah ada yang pakailantas guna bikin barcode apakalau barcode kita yang bikin tapi orang lain yang pakai harus itu kalau ada mobil yang mau isi bbm tidak sesuai di barcode jangan dikasihtolong sistem tani diperbaikikarna sudah rugi yang milik barcode,
iqbal aditya,"daftar akun nya ribet banget, gak ada isi kolom email cm ada no hp doang hbs sign up mau login tetep gak bisa...ga ada pake verifikasi2 segala ini bikin akunnya? 😅😅😅",1,2024-10-07 17:01:04,daftar akun nya ribet banget gak ada isi kolom email cm ada no hp doang hbs sign up mau login tetep gak bisaga ada pake verifikasi segala ini bikin akunnya ,daftar akun nya ribet banget tidak ada isi kolom email cm ada no hp doang hbs sign up mau login tetep tidak bisaga ada pake verifikasi segala ini bikin akunnya ,daftar akun nya ribet banget tidak ada isi kolom email cm ada no hp doang hbs sign up mau login tetep tidak bisaga ada pake verifikasi segala ini bikin akunnya ,"['daftar', 'akun', 'nya', 'ribet', 'banget', 'tidak', 'ada', 'isi', 'kolom', 'email', 'cm', 'ada', 'no', 'hp', 'doang', 'hbs', 'sign', 'up', 'mau', 'login', 'tetep', 'tidak', 'bisaga', 'ada', 'pake', 'verifikasi', 'segala', 'ini', 'bikin', 'akunnya']",daftar akun nya ribet banget tidak ada isi kolom email cm ada no hp doang hbs sign up mau login tetep tidak bisaga ada pake verifikasi segala ini bikin akun,
bintang putra,Gimana mau daftar kalo daftar saja gagal terus ? Jadi kalo begini menyusahkan atau mempermudah bapak ibu yang terhormat ?,1,2024-10-07 16:51:24,Gimana mau daftar kalo daftar saja gagal terus  Jadi kalo begini menyusahkan atau mempermudah bapak ibu yang terhormat ,Gimana mau daftar kalo daftar saja gagal terus  Jadi kalo begini menyusahkan atau mempermudah bapak ibu yang terhormat ,gimana mau daftar kalo daftar saja gagal terus  jadi kalo begini menyusahkan atau mempermudah bapak ibu yang terhormat ,"['gimana', 'mau', 'daftar', 'kalo', 'daftar', 'saja', 'gagal', 'terus', 'jadi', 'kalo', 'begini', 'menyusahkan', 'atau', 'mempermudah', 'bapak', 'ibu', 'yang', 'terhormat']",gimana mau daftar kalo daftar saja gagal terus jadi kalo begini susah atau mudah bapak ibu yang hormat,
Kiki Fadilah,Ribet bangat susah masukin foto stnk sama mobil.. beda ama si orange gampang bangat,5,2024-10-07 16:47:47,Ribet bangat susah masukin foto stnk sama mobil beda ama si orange gampang bangat,Ribet bangat susah masukin foto stnk sama mobil beda ama si orange gampang bangat,ribet bangat susah masukin foto stnk sama mobil beda ama si orange gampang bangat,"['ribet', 'bangat', 'susah', 'masukin', 'foto', 'stnk', 'sama', 'mobil', 'beda', 'ama', 'si', 'orange', 'gampang', 'bangat']",ribet bangat susah masukin foto stnk sama mobil beda ama si orange gampang bangat,
Askal jariah,Tidak ada SMS verifikasi yang masuk,1,2024-10-07 16:42:54,Tidak ada SMS verifikasi yang masuk,Tidak ada SMS verifikasi yang masuk,tidak ada sms verifikasi yang masuk,"['tidak', 'ada', 'sms', 'verifikasi', 'yang', 'masuk']",tidak ada sms verifikasi yang masuk,
Rikardus Gade,Memudahkan untuk Subsidi BBM,4,2024-10-07 16:23:23,Memudahkan untuk Subsidi BBM,Memudahkan untuk Subsidi BBM,memudahkan untuk subsidi bbm,"['memudahkan', 'untuk', 'subsidi', 'bbm']",mudah untuk subsidi bbm,
Tommi Irawan,"Aplikasi gak dilayani di spbu, apaan ini sudah ngisi saldo",1,2024-10-07 15:55:55,Aplikasi gak dilayani di spbu apaan ini sudah ngisi saldo,Aplikasi tidak dilayani di spbu apaan ini sudah ngisi saldo,aplikasi tidak dilayani di spbu apaan ini sudah ngisi saldo,"['aplikasi', 'tidak', 'dilayani', 'di', 'spbu', 'apaan', 'ini', 'sudah', 'ngisi', 'saldo']",aplikasi tidak layan di spbu apa ini sudah ngisi saldo,
Bekti Raharjo,"Telek Daftar berkalikali ga ada respon Anehnya,petugas spbu yg bikinin langsung jadi Dan doi bilang akunnya bikin barcode berkali². Dan tentunya bayar jasa 50rb",1,2024-10-07 15:35:49,Telek Daftar berkalikali ga ada respon Anehnyapetugas spbu yg bikinin langsung jadi Dan doi bilang akunnya bikin barcode berkali Dan tentunya bayar jasa rb,Telek Daftar berkalikali tidak ada respon Anehnyapetugas spbu yg bikinin langsung jadi Dan doi bilang akunnya bikin barcode berkali Dan tentunya bayar jasa rb,telek daftar berkalikali tidak ada respon anehnyapetugas spbu yg bikinin langsung jadi dan doi bilang akunnya bikin barcode berkali dan tentunya bayar jasa rb,"['telek', 'daftar', 'berkalikali', 'tidak', 'ada', 'respon', 'anehnyapetugas', 'spbu', 'yg', 'bikinin', 'langsung', 'jadi', 'dan', 'doi', 'bilang', 'akunnya', 'bikin', 'barcode', 'berkali', 'dan', 'tentunya', 'bayar', 'jasa', 'rb']",telek daftar berkalikali tidak ada respon anehnyapetugas spbu yg bikinin langsung jadi dan doi bilang akun bikin barcode kali dan tentu bayar jasa rb,
jaya gea,"Nopol sudah terdapftar. Padahal mobil baru... Mao perifikasi lagi harus ada poto BPKB padahal orang kebanyakan kredit, BPKB nya d lesing.... Terus harus gmana solusinya... Klo blm sempurna aplikasinya jgn di terapakn deh... Bikin susah masyarakat...",1,2024-10-07 15:33:43,Nopol sudah terdapftar Padahal mobil baru Mao perifikasi lagi harus ada poto BPKB padahal orang kebanyakan kredit BPKB nya d lesing Terus harus gmana solusinya Klo blm sempurna aplikasinya jgn di terapakn deh Bikin susah masyarakat,Nopol sudah terdapftar Padahal mobil baru Mao perifikasi lagi harus ada poto BPKB padahal orang kebanyakan kredit BPKB nya d lesing Terus harus gmana solusinya Klo blm sempurna aplikasinya jgn di terapakn deh Bikin susah masyarakat,nopol sudah terdapftar padahal mobil baru mao perifikasi lagi harus ada poto bpkb padahal orang kebanyakan kredit bpkb nya d lesing terus harus gmana solusinya klo blm sempurna aplikasinya jgn di terapakn deh bikin susah masyarakat,"['nopol', 'sudah', 'terdapftar', 'padahal', 'mobil', 'baru', 'mao', 'perifikasi', 'lagi', 'harus', 'ada', 'poto', 'bpkb', 'padahal', 'orang', 'kebanyakan', 'kredit', 'bpkb', 'nya', 'd', 'lesing', 'terus', 'harus', 'gmana', 'solusinya', 'klo', 'blm', 'sempurna', 'aplikasinya', 'jgn', 'di', 'terapakn', 'deh', 'bikin', 'susah', 'masyarakat']",nopol sudah terdapftar padahal mobil baru mao perifikasi lagi harus ada poto bpkb padahal orang banyak kredit bpkb nya d lesing terus harus gmana solusi klo blm sempurna aplikasi jgn di terapakn deh bikin susah masyarakat,
Rizal Fadhil,"Bener bener ga niat my pertamina, dri banyak ulasan yg sya baca, banyak kasus barcode hilang sendiri, barcode di blokir, tapi pengurusan ya bisa 1 bulan, termasuk saya sendiri yg mengalami. ini aplikasi pertama yg saya kasih bintang 1, kalu bisa saya kasih mines",1,2024-10-07 15:32:10,Bener bener ga niat my pertamina dri banyak ulasan yg sya baca banyak kasus barcode hilang sendiri barcode di blokir tapi pengurusan ya bisa  bulan termasuk saya sendiri yg mengalami ini aplikasi pertama yg saya kasih bintang  kalu bisa saya kasih mines,Bener bener tidak niat my pertamina dri banyak ulasan yg sya baca banyak kasus barcode hilang sendiri barcode di blokir tapi pengurusan ya bisa  bulan termasuk saya sendiri yg mengalami ini aplikasi pertama yg saya kasih bintang  kalu bisa saya kasih mines,bener bener tidak niat my pertamina dri banyak ulasan yg sya baca banyak kasus barcode hilang sendiri barcode di blokir tapi pengurusan ya bisa  bulan termasuk saya sendiri yg mengalami ini aplikasi pertama yg saya kasih bintang  kalu bisa saya kasih mines,"['bener', 'bener', 'tidak', 'niat', 'my', 'pertamina', 'dri', 'banyak', 'ulasan', 'yg', 'sya', 'baca', 'banyak', 'kasus', 'barcode', 'hilang', 'sendiri', 'barcode', 'di', 'blokir', 'tapi', 'pengurusan', 'ya', 'bisa', 'bulan', 'termasuk', 'saya', 'sendiri', 'yg', 'mengalami', 'ini', 'aplikasi', 'pertama', 'yg', 'saya', 'kasih', 'bintang', 'kalu', 'bisa', 'saya', 'kasih', 'mines']",bener bener tidak niat my pertamina dri banyak ulas yg sya baca banyak kasus barcode hilang sendiri barcode di blokir tapi urus ya bisa bulan masuk saya sendiri yg alami ini aplikasi pertama yg saya kasih bintang kalu bisa saya kasih mes,
Eliata Suliman,goog,5,2024-10-07 15:11:40,goog,goog,goog,['goog'],goog,
Mohan Reynaldi,Belum pernah mendaftar tapi keterangan NIK nya sudah terdaftar ? Coba konfirmasi lewat email ga balas lewat telepon operator sibuk,1,2024-10-07 15:07:15,Belum pernah mendaftar tapi keterangan NIK nya sudah terdaftar  Coba konfirmasi lewat email ga balas lewat telepon operator sibuk,Belum pernah mendaftar tapi keterangan NIK nya sudah terdaftar  Coba konfirmasi lewat email tidak balas lewat telepon operator sibuk,belum pernah mendaftar tapi keterangan nik nya sudah terdaftar  coba konfirmasi lewat email tidak balas lewat telepon operator sibuk,"['belum', 'pernah', 'mendaftar', 'tapi', 'keterangan', 'nik', 'nya', 'sudah', 'terdaftar', 'coba', 'konfirmasi', 'lewat', 'email', 'tidak', 'balas', 'lewat', 'telepon', 'operator', 'sibuk']",belum pernah daftar tapi terang nik nya sudah daftar coba konfirmasi lewat email tidak balas lewat telepon operator sibuk,
Muhamad Cahya,"Ribet. Saran ""barcode sudah tersedia di apk ini... Kemudian di apk ini bisa opsi bayar cash atau melalui apk ketika scan barcode."" Karena ga semua operator mengonfirmasi metode pembayaran. Jika kesalahan terjadi, operator ga bisa berbuat apapun selain meminta metode pembayaran yg mereka pilih sendiri tanpa konfirmasi.",1,2024-10-07 15:06:08,Ribet Saran barcode sudah tersedia di apk ini Kemudian di apk ini bisa opsi bayar cash atau melalui apk ketika scan barcode Karena ga semua operator mengonfirmasi metode pembayaran Jika kesalahan terjadi operator ga bisa berbuat apapun selain meminta metode pembayaran yg mereka pilih sendiri tanpa konfirmasi,Ribet Saran barcode sudah tersedia di aplikasi ini Kemudian di aplikasi ini bisa opsi bayar cash atau melalui aplikasi ketika scan barcode Karena tidak semua operator mengonfirmasi metode pembayaran Jika kesalahan terjadi operator tidak bisa berbuat apapun selain meminta metode pembayaran yg mereka pilih sendiri tanpa konfirmasi,ribet saran barcode sudah tersedia di aplikasi ini kemudian di aplikasi ini bisa opsi bayar cash atau melalui aplikasi ketika scan barcode karena tidak semua operator mengonfirmasi metode pembayaran jika kesalahan terjadi operator tidak bisa berbuat apapun selain meminta metode pembayaran yg mereka pilih sendiri tanpa konfirmasi,"['ribet', 'saran', 'barcode', 'sudah', 'tersedia', 'di', 'aplikasi', 'ini', 'kemudian', 'di', 'aplikasi', 'ini', 'bisa', 'opsi', 'bayar', 'cash', 'atau', 'melalui', 'aplikasi', 'ketika', 'scan', 'barcode', 'karena', 'tidak', 'semua', 'operator', 'mengonfirmasi', 'metode', 'pembayaran', 'jika', 'kesalahan', 'terjadi', 'operator', 'tidak', 'bisa', 'berbuat', 'apapun', 'selain', 'meminta', 'metode', 'pembayaran', 'yg', 'mereka', 'pilih', 'sendiri', 'tanpa', 'konfirmasi']",ribet saran barcode sudah sedia di aplikasi ini kemudian di aplikasi ini bisa opsi bayar cash atau lalu aplikasi ketika scan barcode karena tidak semua operator konfirmasi metode bayar jika salah jadi operator tidak bisa buat apa selain minta metode bayar yg mereka pilih sendiri tanpa konfirmasi,
Assave Va,"Kenapa belum bisa muncul barkot saya ,tolong bantuanya, dan impormasinya",5,2024-10-07 14:25:36,Kenapa belum bisa muncul barkot saya tolong bantuanya dan impormasinya,Kenapa belum bisa muncul barkot saya tolong bantuanya dan impormasinya,kenapa belum bisa muncul barkot saya tolong bantuanya dan impormasinya,"['kenapa', 'belum', 'bisa', 'muncul', 'barkot', 'saya', 'tolong', 'bantuanya', 'dan', 'impormasinya']",kenapa belum bisa muncul barkot saya tolong bantuanya dan impormasinya,
Muhammad Haitsam,"Nopol kendaraan tidak sesuai terus, punya mata ga sih untuk mengecek dengan benar?",1,2024-10-07 14:16:14,Nopol kendaraan tidak sesuai terus punya mata ga sih untuk mengecek dengan benar,Nopol kendaraan tidak sesuai terus punya mata tidak sih untuk mengecek dengan benar,nopol kendaraan tidak sesuai terus punya mata tidak sih untuk mengecek dengan benar,"['nopol', 'kendaraan', 'tidak', 'sesuai', 'terus', 'punya', 'mata', 'tidak', 'sih', 'untuk', 'mengecek', 'dengan', 'benar']",nopol kendara tidak sesuai terus punya mata tidak sih untuk ecek dengan benar,
Romadhon Pan,Parah gw isi bensin di isinya pertalite...gk terima gw.😡,1,2024-10-07 13:51:06,Parah gw isi bensin di isinya pertalitegk terima gw,Parah gw isi bensin di isinya pertalitegk terima gw,parah gw isi bensin di isinya pertalitegk terima gw,"['parah', 'gw', 'isi', 'bensin', 'di', 'isinya', 'pertalitegk', 'terima', 'gw']",parah gw isi bensin di isi pertalitegk terima gw,
sadan ardiansyah,Inilah indoneskaku yang tinggal di negara sendiri tetapi sangat di persulit.,1,2024-10-07 13:32:18,Inilah indoneskaku yang tinggal di negara sendiri tetapi sangat di persulit,Inilah indoneskaku yang tinggal di negara sendiri tetapi sangat di persulit,inilah indoneskaku yang tinggal di negara sendiri tetapi sangat di persulit,"['inilah', 'indoneskaku', 'yang', 'tinggal', 'di', 'negara', 'sendiri', 'tetapi', 'sangat', 'di', 'persulit']",ini indoneskaku yang tinggal di negara sendiri tetapi sangat di sulit,
Fathoer Rachman,Sempurna,5,2024-10-07 12:50:20,Sempurna,Sempurna,sempurna,['sempurna'],sempurna,
NURIN TAMAM,sudah ok,5,2024-10-07 12:47:19,sudah ok,sudah ok,sudah ok,"['sudah', 'ok']",sudah ok,
Platina Geser,Aplikasi kaya jembut,1,2024-10-07 12:26:45,Aplikasi kaya jembut,Aplikasi kaya jembut,aplikasi kaya jembut,"['aplikasi', 'kaya', 'jembut']",aplikasi kaya jembut,
